8E-7	-1.87912E-5	
1.6E-6	-1.62947E-5	
2.4E-6	-1.32442E-5	
3.2E-6	-1.3547E-5	
4E-6	-1.6343E-5	
4.8E-6	-2.00539E-5	
5.6E-6	-2.60614E-5	
6.4E-6	-3.003E-5	
7.2E-6	-2.94566E-5	
8E-6	-3.23879E-5	
8.8E-6	-3.05711E-5	
9.6E-6	-2.09558E-5	
1.04E-5	-1.55249E-5	
1.12E-5	-8.97615E-6	
1.2E-5	-4.14757E-6	
1.28E-5	-2.83976E-6	
1.36E-5	-7.04665E-6	
1.44E-5	-9.72347E-6	
1.52E-5	-9.41424E-6	
1.6E-5	-8.85053E-6	
1.68E-5	-1.21007E-5	
1.76E-5	-1.14017E-5	
1.84E-5	-9.43678E-6	
1.92E-5	-8.88918E-6	
2E-5	-1.10667E-5	
2.08E-5	-1.03742E-5	
2.16E-5	-1.32829E-5	
2.24E-5	-1.63849E-5	
2.32E-5	-2.08076E-5	
2.4E-5	-1.93162E-5	
2.48E-5	-1.63495E-5	
2.56E-5	-1.63141E-5	
2.64E-5	-1.1901E-5	
2.72E-5	-8.71201E-6	
2.8E-5	-1.07929E-5	
2.88E-5	-1.37435E-5	
2.96E-5	-1.67586E-5	
3.04E-5	-2.10879E-5	
3.12E-5	-2.17804E-5	
3.2E-5	-2.20188E-5	
3.28E-5	-2.43542E-5	
3.36E-5	-2.77526E-5	
3.44E-5	-2.96048E-5	
3.52E-5	-3.19337E-5	
3.6E-5	-3.41306E-5	
3.68E-5	-3.49713E-5	
3.76E-5	-3.45687E-5	
3.84E-5	-3.16148E-5	
3.92E-5	-3.0278E-5	
4E-5	-2.64351E-5	
4.08E-5	-2.62547E-5	
4.16E-5	-2.51949E-5	
4.24E-5	-1.91906E-5	
4.32E-5	-1.29479E-5	
4.4E-5	-1.28577E-5	
4.48E-5	-1.12761E-5	
4.56E-5	-9.76535E-6	
4.64E-5	-1.03935E-5	
4.72E-5	-1.48613E-5	
4.8E-5	-1.81212E-5	
4.88E-5	-1.70324E-5	
4.96E-5	-1.40495E-5	
5.04E-5	-1.18398E-5	
5.12E-5	-1.03355E-5	
